"","site","id","title","Debut","Fin","localisation","prix","nombreNuits","nombreAvis","notes","images"
"176","hotels.com","Los Angeles","1 Hotel West Hollywood","22-02-2021","28-02-2021","West Hollywood","1739","6 nuits","278","8.8","https://exp.cdn-hotels.com/hotels/36000000/35880000/35872800/35872776/ebf2b28d_z.jpg"
"178","hotels.com","Los Angeles","1 Hotel West Hollywood","08-02-2021","14-02-2021","West Hollywood","1698","6 nuits","278","8.8","https://exp.cdn-hotels.com/hotels/36000000/35880000/35872800/35872776/ebf2b28d_z.jpg"
"179","hotels.com","Los Angeles","The Beverly Hills Hotel - Dorchester Collection","22-02-2021","28-02-2021","The Flats","4116","6 nuits","236","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/12100/12057/5a878f2d_z.jpg"
"180","hotels.com","Los Angeles"," The London West Hollywood at Beverly Hills","22-02-2021","28-02-2021","Norma Triangle","2257","6 nuits","403","9.2","https://exp.cdn-hotels.com/hotels/1000000/30000/21100/21097/227e9365_z.jpg"
"182","hotels.com","Los Angeles","The Beverly Hills Hotel - Dorchester Collection","08-02-2021","14-02-2021","The Flats","4116","6 nuits","236","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/12100/12057/5a878f2d_z.jpg"
"183","hotels.com","Los Angeles"," The London West Hollywood at Beverly Hills","08-02-2021","14-02-2021","Norma Triangle","2161","6 nuits","403","9.2","https://exp.cdn-hotels.com/hotels/1000000/30000/21100/21097/227e9365_z.jpg"
"184","hotels.com","Los Angeles","Terranea - L.A.""s Oceanfront Resort","22-02-2021","28-02-2021","Rancho Palos Verdes","1707","6 nuits","536","8.8","https://exp.cdn-hotels.com/hotels/3000000/2480000/2471900/2471818/41f89a29_z.jpg"
"185","hotels.com","Los Angeles","Casa Del Mar","22-02-2021","28-02-2021","Ocean Park","3002","6 nuits","261","9.4","https://exp.cdn-hotels.com/hotels/1000000/330000/328800/328747/7e360d95_z.jpg"
"188","hotels.com","Los Angeles","Casa Del Mar","08-02-2021","14-02-2021","Ocean Park","3030","6 nuits","261","9.4","https://exp.cdn-hotels.com/hotels/1000000/330000/328800/328747/7e360d95_z.jpg"
"189","hotels.com","Los Angeles","Loews Santa Monica Beach Hotel","08-02-2021","14-02-2021","Downtown","2081","6 nuits","823","8.6","https://exp.cdn-hotels.com/hotels/1000000/20000/13000/12954/ce1798f2_z.jpg"
"190","hotels.com","Los Angeles","Loews Santa Monica Beach Hotel","22-02-2021","28-02-2021","Downtown","2074","6 nuits","823","8.6","https://exp.cdn-hotels.com/hotels/1000000/20000/13000/12954/ce1798f2_z.jpg"
"191","hotels.com","Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel","22-02-2021","28-02-2021","Beverly Hills","2725","6 nuits","334","9.2","https://exp.cdn-hotels.com/hotels/1000000/10000/7400/7346/8bc22324_z.jpg"
"193","hotels.com","Los Angeles","Beverly Wilshire - Beverly Hills, A Four Seasons Hotel","08-02-2021","14-02-2021","Beverly Hills","2839","6 nuits","334","9.2","https://exp.cdn-hotels.com/hotels/1000000/10000/7400/7346/8bc22324_z.jpg"
"200","hotels.com","Los Angeles","Kimpton La Peer Hotel","08-02-2021","14-02-2021","West Hollywood","1619","6 nuits","146","9.2","https://exp.cdn-hotels.com/hotels/19000000/18160000/18156800/18156733/adc1eb90_z.jpg"
"201","hotels.com","Los Angeles","Four Seasons Los Angeles at Beverly Hills","22-02-2021","28-02-2021","Beverly Grove","2992","6 nuits","192","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/300/300/93ae2bc4_z.jpg"
"203","hotels.com","Los Angeles","Four Seasons Los Angeles at Beverly Hills","08-02-2021","14-02-2021","Beverly Grove","2633","6 nuits","192","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/300/300/93ae2bc4_z.jpg"
"206","hotels.com","Los Angeles","The Maybourne Beverly Hills","22-02-2021","28-02-2021","Beverly Hills","2741","6 nuits","12","10.0","https://exp.cdn-hotels.com/hotels/3000000/2030000/2025500/2025453/e0e802ed_z.jpg"
"207","hotels.com","Los Angeles","The Maybourne Beverly Hills","08-02-2021","14-02-2021","Beverly Hills","2741","6 nuits","12","10.0","https://exp.cdn-hotels.com/hotels/3000000/2030000/2025500/2025453/e0e802ed_z.jpg"
"232","hotels.com","Tokyo","The Peninsula Tokyo","15-02-2021","21-02-2021","Yūrakuchō","2058","6 nuits","210","9.2","https://exp.cdn-hotels.com/hotels/2000000/1640000/1631500/1631412/04fc36b1_z.jpg"
"233","hotels.com","Tokyo","The Capitol Hotel Tokyu","15-02-2021","21-02-2021","Nagatachō","2094","6 nuits","388","9.6","https://exp.cdn-hotels.com/hotels/1000000/20000/13600/13577/7e722637_z.jpg"
"234","hotels.com","Tokyo","Park Hyatt Tokyo","15-02-2021","21-02-2021","Quartier d’affaires Nishi Shinjuku","2881","6 nuits","307","9.6","https://exp.cdn-hotels.com/hotels/1000000/970000/970000/969939/be750274_z.jpg"
"235","hotels.com","Tokyo","Palace Hotel Tokyo","15-02-2021","21-02-2021","Marunouchi","2345","6 nuits","405","9.6","https://exp.cdn-hotels.com/hotels/1000000/420000/416500/416454/4bc6d6c5_z.jpg"
"236","hotels.com","Tokyo","Kimpton Shinjuku Tokyo","15-02-2021","21-02-2021","Quartier d’affaires Nishi Shinjuku","2105","6 nuits","3","9.4","https://exp.cdn-hotels.com/hotels/43000000/42610000/42600600/42600519/5e108a21_z.jpg"
"238","hotels.com","Tokyo","The Okura Tokyo","15-02-2021","21-02-2021","Toranomon","2794","6 nuits","70","9.0","https://exp.cdn-hotels.com/hotels/34000000/33340000/33333700/33333699/d7481f24_z.jpg"
